name,price,price_old,sale,url
Диван Биани Barhat Smoke,69 990,93 990,-25%,https://www.divan.ru/product/divan-biani-barhat-smoke
Диван Динс Мини Velvet Navy Blue,46 990,67 990,-30%,https://www.divan.ru/product/divan-dins-mini-velvet-navy-blue
Диван угловой Байвин-1 Soft Olive,74 990,107 990,-30%,https://www.divan.ru/product/divan-uglovoj-bajvin-1-soft-olive
Диван Динс Мини Velvet Latte,46 990,67 990,-30%,https://www.divan.ru/product/divan-dins-mini-velvet-latte
Диван Мона Velvet Grey,26 990,35 990,-25%,https://www.divan.ru/product/divan-mona-velvet-grey
Модульный диван Риббл-1 Bucle Silver,76 980,0,нет скидки,https://www.divan.ru/product/modulnyj-divan-ribbl-1-bucle-silver
Модульный диван Полан-2 Velvet Smoke,93 960,104 960,-10%,https://www.divan.ru/product/modulnyj-divan-polan-2-velvet-smoke
Диван Рон Textile Beige,52 990,56 990,-7%,https://www.divan.ru/product/divan-ron-textile-beige
Диван угловой Лаберт Barhat Blue,99 990,142 990,-30%,https://www.divan.ru/product/divan-uglovoj-labert-barhat-blue
Диван угловой Бонент Velvet Grey,89 990,105 990,-15%,https://www.divan.ru/product/divan-uglovoj-bonent-velvet-grey
Диван угловой Бруквиль Velvet Olive,56 990,75 990,-25%,https://www.divan.ru/product/divan-uglovoj-brukvil-velvet-olive
Диван угловой Биани-2 Barhat Olive,99 990,134 990,-25%,https://www.divan.ru/product/divan-uglovoj-biani-2-barhat-olive
Диван Лофт Linia Yellow,39 990,61 990,-35%,https://www.divan.ru/product/divan-loft-linia-yellow
Диван Бонс-Т Velvet Yellow,39 990,66 990,-40%,https://www.divan.ru/product/divan-bons-t-velvet-yellow
Диван Сите-3 Velvet Moss,34 990,36 990,-5%,https://www.divan.ru/product/divan-site-3-velvet-moss
Диван Риббл-7 Bucle White,51 990,0,нет скидки,https://www.divan.ru/product/divan-ribbl-7-bucle-white
Диван угловой Шера Velvet Stone,99 990,132 990,-24%,https://www.divan.ru/product/divan-uglovoj-shera-velvet-stone
Диван Сваут Velvet Moss,72 990,81 990,-10%,https://www.divan.ru/product/divan-svaut-velvet-moss
Диван Винси Soft Grey,20 990,23 990,-12%,https://www.divan.ru/product/divan-vinsi-soft-grey
Диван Динс Velvet Navy Blue,49 990,70 990,-29%,https://www.divan.ru/product/divan-dins-velvet-navy-blue-old-10-04-2024
Диван Сваут Velvet Terra,72 990,81 990,-10%,https://www.divan.ru/product/divan-svaut-velvet-terra
Диван Риард-3 Land Light,46 990,49 990,-6%,https://www.divan.ru/product/divan-riard-3-land-light
Диван Арклоу Soft Olive,56 990,0,нет скидки,https://www.divan.ru/product/divan-arklou-soft-olive
Диван Ниса Land Forest,44 990,47 990,-6%,https://www.divan.ru/product/divan-nisa-land-forest
Диван Байма Velvet Plum,69 990,93 990,-25%,https://www.divan.ru/product/divan-bajma-velvet-plum
Диван Сите-2 Velvet Coral,26 990,32 990,-18%,https://www.divan.ru/product/divan-site-2-velvet-coral
Диван угловой Биани-1 Barhat Latte,74 990,99 990,-25%,https://www.divan.ru/product/divan-uglovoj-biani-1-barhat-latte
Диван Клаймар Velvet Terra,59 990,75 990,-21%,https://www.divan.ru/product/divan-klajmar-velvet-terra
Диван угловой Плэнтис Soft Grafit,119 990,141 990,-15%,https://www.divan.ru/product/divan-uglovoj-plentis-soft-grafit
